"﻿""URL""",histogramsData/Fr/0,histogramsData/Fr/1,histogramsData/Fr/10,histogramsData/Fr/11,histogramsData/Fr/12,histogramsData/Fr/13,histogramsData/Fr/14,histogramsData/Fr/15,histogramsData/Fr/16,histogramsData/Fr/17,histogramsData/Fr/18,histogramsData/Fr/2,histogramsData/Fr/3,histogramsData/Fr/4,histogramsData/Fr/5,histogramsData/Fr/6,histogramsData/Fr/7,histogramsData/Fr/8,histogramsData/Fr/9,histogramsData/Mo/0,histogramsData/Mo/1,histogramsData/Mo/10,histogramsData/Mo/11,histogramsData/Mo/12,histogramsData/Mo/13,histogramsData/Mo/14,histogramsData/Mo/15,histogramsData/Mo/16,histogramsData/Mo/17,histogramsData/Mo/18,histogramsData/Mo/19,histogramsData/Mo/2,histogramsData/Mo/3,histogramsData/Mo/4,histogramsData/Mo/5,histogramsData/Mo/6,histogramsData/Mo/7,histogramsData/Mo/8,histogramsData/Mo/9,histogramsData/Sa/0,histogramsData/Sa/1,histogramsData/Sa/10,histogramsData/Sa/11,histogramsData/Sa/12,histogramsData/Sa/13,histogramsData/Sa/14,histogramsData/Sa/15,histogramsData/Sa/16,histogramsData/Sa/17,histogramsData/Sa/2,histogramsData/Sa/3,histogramsData/Sa/4,histogramsData/Sa/5,histogramsData/Sa/6,histogramsData/Sa/7,histogramsData/Sa/8,histogramsData/Sa/9,histogramsData/Su/0,histogramsData/Su/1,histogramsData/Su/10,histogramsData/Su/11,histogramsData/Su/12,histogramsData/Su/13,histogramsData/Su/14,histogramsData/Su/15,histogramsData/Su/16,histogramsData/Su/17,histogramsData/Su/2,histogramsData/Su/3,histogramsData/Su/4,histogramsData/Su/5,histogramsData/Su/6,histogramsData/Su/7,histogramsData/Su/8,histogramsData/Su/9,histogramsData/Th/0,histogramsData/Th/1,histogramsData/Th/10,histogramsData/Th/11,histogramsData/Th/12,histogramsData/Th/13,histogramsData/Th/14,histogramsData/Th/15,histogramsData/Th/16,histogramsData/Th/17,histogramsData/Th/18,histogramsData/Th/19,histogramsData/Th/2,histogramsData/Th/3,histogramsData/Th/4,histogramsData/Th/5,histogramsData/Th/6,histogramsData/Th/7,histogramsData/Th/8,histogramsData/Th/9,histogramsData/Tu/0,histogramsData/Tu/1,histogramsData/Tu/10,histogramsData/Tu/11,histogramsData/Tu/12,histogramsData/Tu/13,histogramsData/Tu/14,histogramsData/Tu/15,histogramsData/Tu/16,histogramsData/Tu/17,histogramsData/Tu/18,histogramsData/Tu/19,histogramsData/Tu/2,histogramsData/Tu/3,histogramsData/Tu/4,histogramsData/Tu/5,histogramsData/Tu/6,histogramsData/Tu/7,histogramsData/Tu/8,histogramsData/Tu/9,histogramsData/We/0,histogramsData/We/1,histogramsData/We/10,histogramsData/We/11,histogramsData/We/12,histogramsData/We/13,histogramsData/We/14,histogramsData/We/15,histogramsData/We/16,histogramsData/We/17,histogramsData/We/18,histogramsData/We/19,histogramsData/We/2,histogramsData/We/3,histogramsData/We/4,histogramsData/We/5,histogramsData/We/6,histogramsData/We/7,histogramsData/We/8,histogramsData/We/9,placeName
,Fr/0,Fr/1,Fr/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.com/search?q=nysc+62nd+broadway,0,3,17,13,14,23,34,32,20,0,,12,17,14,12,15,20,23,22,0,3,31,20,17,27,47,63,60,39,18,,9,14,13,8,7,14,27,35,0,0,12,17,20,19,12,0,0,0,11,27,33,24,18,17,15,12,0,0,20,18,27,30,13,0,0,0,4,17,35,32,14,8,14,20,0,2,22,20,26,41,54,54,41,23,9,,4,6,5,3,5,10,19,23,0,8,20,14,17,30,52,72,75,58,35,,8,8,9,10,14,23,30,29,0,12,21,20,29,45,60,61,47,28,12,,13,12,9,11,16,22,25,24,New York Sports Clubs
https://www.google.com/search?q=nysc+63+west+end,0,0,29,24,32,53,75,72,45,0,,11,24,16,16,24,32,35,35,0,8,32,32,29,29,38,50,56,43,21,,11,13,19,21,24,29,29,32,0,0,40,35,26,16,8,0,0,0,19,32,40,35,24,21,29,38,0,0,19,32,40,26,11,0,0,0,5,11,21,29,35,32,26,19,0,5,26,26,24,24,26,32,32,24,13,,11,16,21,26,26,26,24,26,0,11,13,13,24,40,53,50,35,19,5,,19,26,35,40,40,38,29,21,0,5,34,39,39,39,45,53,53,34,12,,12,21,31,39,39,34,31,31,New York Sports Clubs
https://www.google.com/search?q=nysc+23+w+73rd,0,2,27,17,15,23,37,45,37,20,,12,29,23,34,45,49,46,38,0,7,24,19,26,44,64,75,69,52,30,,14,19,23,23,24,30,37,34,0,0,23,34,39,31,17,0,0,0,12,37,61,68,69,60,38,22,0,0,41,39,35,30,23,0,0,0,8,22,42,57,56,46,41,39,0,8,20,20,20,26,41,57,60,42,20,,17,29,38,39,34,27,22,20,0,9,24,24,29,41,57,69,69,53,32,,14,19,23,27,31,31,31,29,0,5,24,24,30,42,55,60,57,42,24,,9,15,20,25,30,32,30,28,New York Sports Clubs
https://www.google.com/search?q=nysc+76th+1st,0,22,41,50,57,62,61,53,42,29,,32,41,43,40,33,29,29,33,0,23,35,38,41,46,53,57,55,45,31,,35,45,53,54,50,44,38,35,0,36,52,50,44,35,24,0,0,0,54,69,75,70,61,53,50,50,0,23,42,38,35,30,25,0,0,0,32,41,48,53,55,54,51,47,0,20,43,38,41,53,67,74,68,52,33,,32,41,41,35,31,35,43,46,0,32,35,38,41,50,63,74,72,56,34,,51,62,55,41,30,26,29,32,0,22,36,38,40,47,59,69,69,59,41,,34,42,42,37,30,28,30,33,New York Sports Clubs
https://www.google.com/search?q=nysc+7th+avenue+at+10th+street,0,3,33,44,48,56,69,75,59,30,,9,18,27,32,29,21,17,21,0,2,36,39,48,57,60,56,44,29,17,,3,8,15,27,38,44,44,39,0,0,21,30,23,8,0,0,0,0,20,41,54,51,41,42,38,21,0,0,18,21,24,12,0,0,0,0,9,18,29,33,32,32,32,26,0,14,21,32,45,57,60,54,41,27,15,,23,35,44,45,41,32,23,18,0,5,48,48,47,50,56,56,47,30,15,,11,20,30,38,41,39,39,44,0,0,31,34,43,55,58,49,33,18,7,,6,12,22,33,42,46,42,36,New York Sports Clubs
https://www.google.com/search?q=nysc+80th+broadway,0,11,20,20,23,29,34,31,21,11,,18,25,27,25,22,20,20,20,0,2,34,28,25,37,60,75,62,34,12,,8,14,19,18,14,15,23,32,0,0,31,35,25,21,23,15,0,0,11,25,43,50,41,24,12,17,0,0,22,35,46,44,34,20,0,0,14,28,43,50,44,30,17,14,0,5,19,20,28,38,44,44,38,29,19,,11,21,33,44,47,44,34,24,0,5,24,19,21,32,46,50,38,23,14,,9,17,25,33,38,41,38,32,0,10,28,26,27,38,49,48,31,14,4,,17,23,27,28,30,31,33,31,New York Sports Clubs
https://www.google.com/search?q=nysc+91st+3rd,0,10,26,29,39,53,58,50,33,17,,26,40,39,35,38,39,36,30,0,7,34,41,51,63,71,71,64,50,35,,11,18,24,30,33,34,32,32,0,12,32,37,44,38,22,0,0,0,35,62,69,56,48,47,45,38,0,16,55,65,60,41,20,0,0,0,26,37,47,51,50,44,40,44,0,14,22,30,39,46,49,50,53,46,28,,23,31,37,38,35,28,22,20,0,7,23,33,49,64,74,75,65,49,32,,17,29,35,35,32,27,22,20,0,13,29,33,39,48,52,52,46,36,26,,21,32,41,46,45,41,34,29,New York Sports Clubs
https://www.google.com/search?q=nysc+94th+broadway,0,5,27,25,23,32,48,45,21,5,,15,28,34,29,21,20,24,27,0,2,28,32,32,38,55,75,69,41,14,,6,14,23,28,26,20,18,22,0,20,22,22,24,25,22,17,0,0,34,37,33,32,33,32,29,25,0,0,35,40,38,29,17,8,0,0,14,25,35,39,38,30,26,28,0,7,17,20,23,26,33,41,41,29,12,,16,27,37,39,33,23,16,14,0,5,14,15,20,30,43,51,49,36,20,,12,23,34,38,33,25,19,16,0,6,18,18,24,36,50,54,46,30,15,,10,15,21,26,29,29,27,22,New York Sports Clubs
https://www.google.com/search?q=nysc+astoria,0,8,25,26,32,41,47,47,40,28,16,17,17,16,20,27,32,32,28,0,6,25,24,29,41,54,62,60,48,32,17,11,16,21,27,31,32,31,28,0,9,30,34,38,32,20,0,0,0,21,35,46,50,50,49,43,35,0,6,28,30,35,35,25,0,0,0,16,26,32,32,31,31,32,30,0,6,21,22,30,44,58,62,55,40,23,11,25,27,15,17,23,28,28,24,0,16,21,23,32,49,66,75,68,50,29,14,34,29,16,15,20,25,26,23,0,3,20,21,29,44,60,68,63,48,29,14,15,24,18,18,22,26,26,23,New York Sports Clubs
https://www.google.com/search?q=nysc+avenue+a+3rd+street,0,5,36,32,27,29,41,45,30,11,,11,17,20,20,20,24,30,35,0,3,26,25,25,34,56,75,70,43,17,,9,18,23,20,17,17,21,25,0,0,41,36,35,30,0,0,0,0,22,39,46,37,22,18,28,40,0,0,31,35,29,14,0,0,0,0,14,33,47,46,41,38,30,26,0,14,20,23,25,30,38,42,41,32,20,,25,29,25,17,13,14,16,18,0,9,20,25,35,49,57,56,46,31,17,,14,20,26,30,31,29,24,20,0,4,17,15,18,29,49,64,61,41,19,,14,26,29,22,17,17,18,19,New York Sports Clubs
